,id,county,state_pm,abs_pm,latitude,longitude,lanes
931,401746,13,3.7,8.048,37.892433000000004,-122.16703100000001,4
932,401748,13,19.13,50.845,37.967137,-122.057083,4
933,401750,13,23.64,55.355,38.020578,-122.100284,4
934,401756,13,12.75,12.399000000000001,37.995123,-122.06851499999999,2
935,401758,97,14.0,482.702,38.350146,-122.712965,3
936,401762,13,17.5,49.007,37.942855,-122.05913000000001,6
937,401766,97,13.77,481.80400000000003,38.346899,-122.713127,3
938,401768,13,23.64,55.305,38.020646,-122.10006899999999,4
939,401770,13,17.82,49.327,37.947233000000004,-122.05721299999999,5
940,401774,13,19.0,50.553000000000004,37.963401,-122.05460900000001,4
941,401778,13,17.58,49.086999999999996,37.943954,-122.05866,5
942,401780,13,21.9,53.565,38.002078000000004,-122.078721,4
943,401781,95,12.98,40.463,38.218004,-122.135704,5
944,401782,95,13.19,40.673,38.220082,-122.133174,5
945,401784,95,13.57,41.053000000000004,38.223534,-122.12761299999998,6
946,401785,95,13.58,41.063,38.223755,-122.127691,6
947,401786,95,13.99,41.473,38.227238,-122.12155200000001,5
948,401787,95,13.99,41.473,38.227089,-122.121342,5
949,401788,95,14.51,41.993,38.230959000000006,-122.113197,5
950,401789,95,14.51,41.993,38.23082,-122.113024,5
951,401790,95,14.97,42.453,38.234207,-122.10577099999999,5
952,401791,95,14.97,42.453,38.233999,-122.10557800000001,5
953,401793,13,12.833,26.166,38.046061,-122.236703,4
954,401794,13,12.24,43.648,37.875054,-122.045272,5
955,401795,75,0.65,428.944,37.717176,-122.39894699999999,5
956,401796,55,13.1,19.139,38.321776,-122.309316,2
957,401797,55,13.1,19.139,38.321719,-122.309541,2
958,401798,55,12.8,18.839000000000002,38.317605,-122.30786699999999,2
959,401799,55,12.8,18.839000000000002,38.317645,-122.30769699999999,2
960,401800,1,1.67,31.73,37.525232,-122.098805,3
961,401808,85,0.56,0.56,37.334883000000005,-121.86006599999999,6
962,401809,85,0.56,0.56,37.334524,-121.860098,6
963,401810,85,2.05,2.05,37.32592,-121.88398899999999,5
964,401811,85,2.05,2.05,37.325651,-121.883953,5
