id,timestamp_,description,area,latitude,longitude,district,freeway,direction,postmile_state,postmile_abs,duration
18452736,2019-01-01 15:05:00,1182-Trfc Collision-No Inj,Solano,38.510449,-121.78045300000001,4,80,W,41.72,69.2,17.0
18452745,2019-01-01 15:12:00,1182-Trfc Collision-No Inj,Solano,38.41405,-121.900075,4,80,E,32.42,59.9,46.0
18452746,2019-01-01 15:09:00,1125-Traffic Hazard,Oakland,37.827011999999996,-122.297426,4,580,W,46.967,62.9,41.0
18452747,2019-01-01 15:08:00,1182-Trfc Collision-No Inj,San Francisco,37.785385999999995,-122.391506,4,80,E,5.64,2.1,42.0
18452765,2019-01-01 15:27:00,1125-Traffic Hazard,Redwood City,37.490969,-122.217937,4,101,N,5.713,407.9,2.0
18452766,2019-01-01 15:24:00,1183-Trfc Collision-Unkn Inj,Santa Rosa,38.528901,-122.793048,4,101,S,28.158,495.9,6.0
18452774,2019-01-01 15:30:00,1125-Traffic Hazard,Oakland,37.930096999999996,-122.32401599999999,4,80,E,2.354,15.7,3.0
18452775,2019-01-01 15:28:00,1183-Trfc Collision-Unkn Inj,Dublin,37.701724,-121.89104099999999,4,580,W,19.168,35.2,14.0
18452788,2019-01-01 15:41:00,1179-Trfc Collision-1141 Enrt,Solano,38.051224,-122.22936599999998,4,80,E,13.354,26.7,45.0
18452795,2019-01-01 15:44:00,1125-Traffic Hazard,Solano,38.199049,-122.160692,4,80,W,R11.115,38.6,12.0
18452809,2019-01-01 15:54:00,1125-Traffic Hazard,Solano,38.171871,-122.19675900000001,4,80,W,8.315,35.8,45.0
18452814,2019-01-01 15:56:00,1125-Traffic Hazard,San Francisco,37.750228,-122.392204,4,280,S,R5.627,55.6,31.0
18452819,2019-01-01 16:08:00,1125-Traffic Hazard,San Jose,37.337631,-121.897857,4,87,N,6.163,6.175,3.0
18452820,2019-01-01 16:06:00,ANIMAL-Live or Dead Animal,Solano,38.086268,-122.21426399999999,4,780,E,6.182,5.5,1.0
18452827,2019-01-01 16:10:00,1125-Traffic Hazard,Contra Costa,37.994816,-122.039153,4,242,S,R2.641,2.9,8.0
18452835,2019-01-01 16:17:00,1125-Traffic Hazard,Contra Costa,37.888907,-122.17566200000002,4,24,E,R3.152,7.5,16.0
18452847,2019-01-01 16:23:00,1182-Trfc Collision-No Inj,Contra Costa,37.874851,-122.18658,4,24,E,R2.052,6.4,9.0
18452862,2019-01-01 16:41:00,1179-Trfc Collision-1141 Enrt,Hollister Gilroy,37.046389000000005,-121.277222,4,152,W,31.126,41.9,39.0
18452872,2019-01-01 16:43:00,1183-Trfc Collision-Unkn Inj,San Jose,37.420148,-121.94065400000001,4,237,W,7.948,8.0,15.0
18452876,2019-01-01 16:47:00,FIRE-Report of Fire,Dublin,37.702489,-122.016929,4,580,E,R25.816,42.0,6.0
