,id,county,state_pm,abs_pm,latitude,longitude,lanes,weather_station_id
196,7108,13,20.06,19.794,38.018708,-121.941653,4,23254
197,7109,85,31.82,381.453,37.304612,-121.818006,4,23293
198,7113,13,0.44,13.773,37.903574,-122.31244,4,23272
199,7114,85,45.63,395.30300000000005,37.398628,-122.026802,4,23244
200,7115,81,19.63,421.817,37.62072,-122.399676,4,23234
201,7117,1,23.69,33.917,37.71958400000001,-122.17708600000002,4,23234
202,7118,1,14.98,31.164,37.701111,-121.817968,5,23285
203,7119,1,21.15,31.158,37.720756,-121.937891,4,23285
204,7120,85,9.1,9.1,37.250624,-121.928209,4,23293
205,7121,95,1.09,28.562,38.075741,-122.231688,3,93227
206,7122,81,24.75,47.29,37.671398,-122.466632,4,23234
207,7123,1,41.51,57.74,37.79841,-122.216924,4,23234
208,7124,81,20.28,422.503,37.629746,-122.402661,4,23234
209,7125,1,28.07,38.297,37.771469,-122.22307,4,23234
210,7127,85,2.7,2.7,37.348907,-121.917833,3,23293
211,7129,13,2.66,7.007999999999999,37.882713,-122.1802,5,23254
212,7133,41,17.33,458.603,38.057912,-122.530824,4,135
213,7134,81,10.78,33.326,37.506759,-122.33852,4,93231
214,7137,85,42.19,391.827,37.383125,-121.967496,4,23293
215,7138,13,3.76,8.107999999999999,37.892849,-122.166614,5,23254
216,7143,13,3.46,67.38600000000001,37.922431,-122.357855,3,23272
217,7144,1,24.65,34.876999999999995,37.730698,-122.187572,4,23272
218,7145,13,2.97,16.303,37.937368,-122.326196,4,23272
219,7147,1,4.58,14.807,37.505941,-121.965865,4,23244
220,7153,95,3.03,61.063,38.088513,-122.109515,2,23254
221,7156,85,42.58,392.253,37.38482,-121.974251,4,23293
222,7160,1,2.48,12.406,37.496302,-121.923874,4,23244
223,7162,13,2.05,15.383,37.925318,-122.320965,5,23272
224,7165,81,16.64,418.827,37.590637,-122.36193,4,23234
225,7166,41,15.85,456.455,38.037635,-122.536716,4,135
226,7167,1,18.72,28.947,37.670804,-122.110602,6,93228
227,7172,81,3.2,405.387,37.480426,-122.174688,5,93231
228,7173,13,3.0,7.348,37.887084,-122.177406,5,23254
229,7174,41,19.23,460.503,38.081688,-122.547804,4,135
230,7176,41,17.79,458.395,38.063597,-122.535214,4,135
231,7177,13,9.1,40.508,37.837989,-122.014484,4,23254
232,7178,85,38.35,388.023,37.364382,-121.902692,5,23293
233,7179,13,1.4,65.374,37.914244,-122.325871,3,23272
234,7181,75,2.05,52.023,37.726891,-122.445512,5,23272
235,7184,85,35.11,384.74300000000005,37.34241,-121.854543,4,23293
236,7185,13,7.98,39.38800000000001,37.827922,-121.99838,4,23254
237,7190,1,2.32,0.473,37.83111,-122.266925,4,23254
238,7191,13,1.4,65.304,37.914274,-122.325581,3,23272
239,7193,1,3.05,13.277,37.49058400000001,-121.945998,4,23244
240,7194,85,0.81,0.81,37.240325,-121.782062,3,23293
